10,1,12,6,6,13,5,12,6,4,8,6,6,10,3,8,6,6,6,10,2,6,6,13,9,2,6,6,13,9,0,3,8,6,6,13,9,0,3,8,6,6,6,13,9,3,7,8,6,13
13,12,6,4,8,6,6,6,6,13,12,6,6,13,9,3,7,7,7,11,3,7,8,6,10,3,8,6,6,10,0,0,3,7,8,6,13,9,0,3,7,7,8,6,10,1,5,12,6,6
6,6,4,11,2,6,6,6,6,6,6,6,6,6,10,1,5,5,9,0,1,5,12,6,13,5,12,6,6,13,9,0,0,0,2,6,6,10,0,1,5,9,2,6,13,12,6,6,6,6
6,6,10,0,3,7,7,8,6,6,4,7,8,6,10,2,6,6,10,1,12,6,6,6,6,6,6,4,8,6,13,9,0,0,2,6,4,11,1,12,6,10,2,6,6,6,6,6,4,7
4,7,11,0,0,0,0,3,8,6,10,0,3,7,11,2,6,6,10,2,6,4,8,6,6,6,6,10,2,6,6,13,9,0,2,6,13,5,12,6,4,11,3,8,6,6,6,6,10,1
13,5,9,0,1,5,5,9,3,7,11,0,1,5,9,2,6,6,13,12,6,10,3,7,7,8,6,10,3,7,8,6,10,1,12,6,6,6,6,4,11,0,0,3,7,7,7,7,11,2
6,6,10,0,2,6,6,13,5,5,5,5,12,6,10,3,7,8,6,6,6,10,0,0,0,2,6,13,9,0,2,6,13,12,6,4,8,6,6,10,0,0,0,0,0,1,5,9,0,3
6,4,11,0,3,8,6,6,6,6,6,6,6,6,13,9,0,3,7,8,6,10,0,0,0,3,8,6,10,0,2,6,6,6,4,11,3,8,6,10,1,5,9,0,0,2,6,13,5,9
6,10,1,5,5,12,6,4,7,7,8,6,6,6,6,10,0,0,0,2,6,10,0,0,1,5,12,6,10,0,3,8,6,6,10,0,0,2,6,13,12,6,10,0,0,2,6,6,6,13
6,13,12,6,6,6,6,10,1,5,12,6,6,6,4,11,0,0,0,2,6,10,0,0,2,6,6,4,11,1,5,12,6,4,11,0,0,2,6,6,6,4,11,0,0,3,8,6,6,6
6,6,6,4,7,8,6,13,12,6,6,4,8,6,10,0,0,0,0,2,6,10,0,0,2,6,6,10,1,12,6,6,6,13,5,5,9,3,7,8,6,10,0,0,0,0,2,6,4,7
7,8,6,13,5,12,6,6,6,4,7,11,2,6,13,9,0,0,0,3,7,11,0,0,2,6,6,10,2,6,4,7,8,6,6,6,13,9,1,12,6,10,0,0,0,0,2,6,13,9
0,3,8,6,6,6,4,8,6,13,9,1,12,6,6,10,0,0,0,0,0,0,0,0,2,6,4,11,3,7,11,0,3,8,6,6,6,13,12,6,4,11,0,0,0,1,12,6,6,10
9,1,12,6,6,4,11,2,6,6,13,12,6,6,6,13,5,9,0,0,0,0,0,0,2,6,10,0,0,0,0,0,0,3,8,6,6,6,6,6,13,5,9,0,0,2,6,6,6,10
13,12,6,6,4,11,0,3,8,6,6,6,6,4,8,6,6,10,0,0,0,0,0,1,12,6,10,0,0,0,0,0,1,5,12,6,6,6,6,6,6,6,10,0,0,3,7,8,6,13
6,6,6,6,10,0,1,5,12,6,6,6,4,11,2,6,4,11,0,0,0,1,5,12,6,4,11,0,0,0,0,1,12,6,6,6,4,7,8,6,4,7,11,0,0,1,5,12,6,6
6,4,8,6,10,1,12,6,6,4,8,6,13,5,12,6,10,0,0,0,1,12,6,6,6,10,0,0,0,1,5,12,6,4,8,6,13,5,12,6,10,0,0,0,0,2,6,6,4,8
