60,53,9,61,61,61,61,22,49,1,1,11,61,20,6,9,61,8,9,39,60,5,7,60,60,60,40,61,61,15
60,60,4,44,45,61,61,61,61,8,42,6,6,43,60,4,61,27,5,31,12,1,2,60,60,60,4,61,61,27
37,2,17,19,5,45,32,6,9,39,60,12,37,2,60,4,61,3,12,2,4,61,10,13,2,60,29,9,8,7
61,3,60,60,60,5,7,60,17,7,60,4,8,19,60,4,61,39,5,43,40,61,61,61,34,1,26,5,19,60
61,34,1,25,2,60,60,0,13,2,60,4,3,60,60,5,6,43,60,60,4,61,8,9,61,61,10,13,2,60
61,61,61,61,3,60,60,4,61,27,60,16,10,2,60,60,60,60,60,60,40,61,27,4,61,8,9,61,10,1
61,61,61,61,3,60,60,5,9,3,60,4,61,15,60,12,13,2,60,60,28,61,27,5,6,7,4,61,61,61
61,61,61,61,10,13,25,2,4,27,60,5,6,31,60,16,61,3,60,60,16,61,10,1,26,60,4,61,61,61
9,61,61,61,61,61,61,15,4,3,60,60,24,2,60,4,56,7,24,2,5,9,61,61,3,60,16,61,61,61
4,61,61,8,9,61,61,15,28,3,60,60,28,10,2,17,7,60,5,31,60,17,33,61,46,26,16,61,61,56
5,18,9,3,4,61,61,3,5,7,60,60,28,61,10,1,37,1,1,1,2,60,5,21,61,39,5,21,61,3
1,2,5,31,5,18,9,39,60,60,60,60,5,9,20,6,21,61,61,61,3,60,60,5,9,3,60,5,45,34
61,3,36,1,2,60,40,34,1,2,24,38,60,16,3,60,5,6,30,9,3,60,60,60,4,15,60,60,40,61
6,19,41,6,19,60,5,21,61,39,5,7,60,53,7,60,60,12,2,4,3,24,1,14,40,34,1,2,16,61
26,60,60,60,60,60,60,5,9,3,0,2,60,60,60,60,60,53,19,16,3,5,21,15,4,61,61,39,4,61
27,12,1,1,2,0,2,60,4,3,40,10,1,1,1,13,50,60,60,5,7,60,5,31,5,9,61,3,5,18
7,28,61,61,3,4,27,60,16,3,17,9,61,61,61,61,10,2,60,60,36,2,60,60,60,16,61,27,60,60
60,41,6,21,27,4,15,60,16,34,2,4,61,61,61,61,61,3,60,60,4,27,60,60,60,4,61,10,2,24
25,25,26,17,19,4,15,60,5,45,3,4,61,61,61,61,61,10,2,60,16,10,2,60,60,41,6,6,19,5
61,61,10,2,60,5,19,60,60,29,7,17,6,6,6,33,61,61,10,2,5,30,19,60,60,60,60,60,60,60
61,61,8,7,60,24,1,1,25,14,60,60,36,2,60,5,6,9,61,27,60,60,60,60,60,60,60,60,60,60
61,61,3,12,14,4,61,61,61,10,1,2,16,10,2,60,60,4,61,3,60,60,60,60,60,60,60,60,60,60
61,61,15,5,19,28,61,61,61,61,61,3,16,61,3,60,60,5,6,31,60,60,60,60,60,60,60,60,24,2
30,9,3,60,60,28,61,44,33,61,61,3,28,61,10,1,14,60,60,60,36,25,1,1,1,49,2,60,40,3
60,28,3,60,60,4,61,3,4,61,61,3,5,6,9,61,15,60,60,60,41,9,61,8,21,61,10,14,17,7
60,4,22,13,2,5,9,39,28,61,61,3,60,60,5,9,27,60,60,60,60,5,33,3,5,9,61,22,26,60
60,29,21,61,3,60,4,51,4,61,61,3,24,2,60,28,34,1,25,2,60,60,5,31,60,4,61,61,3,60
60,60,4,61,39,60,5,7,5,9,61,15,4,3,60,5,54,6,45,3,60,60,60,60,60,4,61,61,3,60
60,60,4,61,3,60,36,13,2,5,6,7,5,43,60,60,60,60,4,10,1,25,2,60,60,4,61,61,3,60
0,2,40,8,7,60,4,61,10,1,37,2,60,60,48,1,2,60,4,61,61,61,3,60,60,41,30,6,55,60
