61,61,61,61,8,7,60,60,17,6,30,6,7,60,60,4,61,8,21,61
6,33,61,61,10,2,60,60,60,60,0,1,1,1,2,4,8,19,4,61
60,5,6,21,61,39,12,2,60,60,4,61,61,61,27,4,3,60,4,61
1,2,60,5,9,15,16,46,2,60,40,61,61,61,15,29,7,60,29,6
61,22,37,2,5,7,4,61,39,60,4,61,61,61,27,60,0,37,26,60
61,61,61,46,38,60,4,61,10,2,5,9,61,61,27,60,16,61,46,1
61,61,61,61,10,2,4,61,61,15,60,29,9,61,27,60,5,9,61,61
61,61,61,61,61,15,4,61,61,22,2,60,16,61,22,13,14,16,61,61
61,8,6,6,6,19,4,61,61,61,39,60,17,18,9,32,7,17,21,61
61,22,37,13,2,60,4,61,61,61,3,60,60,60,4,10,25,14,52,61
61,8,33,61,3,60,28,61,61,61,34,13,13,26,5,6,33,3,4,61
61,3,41,30,7,60,5,33,61,61,61,61,61,27,60,60,4,3,4,61
61,3,60,60,60,60,60,5,9,61,61,61,61,3,60,60,4,3,4,61
61,3,60,60,60,60,60,60,5,9,32,21,61,39,60,60,17,7,4,61
61,3,60,48,1,2,12,13,26,53,7,4,61,10,37,1,1,2,4,61
61,3,60,29,6,7,4,61,22,37,26,5,54,9,61,61,20,7,4,61
61,27,60,60,60,60,4,61,61,61,10,2,60,5,42,9,15,60,4,61
61,10,13,1,2,60,28,61,61,61,61,10,1,2,60,16,10,2,40,61
61,8,6,18,7,60,5,9,61,61,61,61,61,3,60,5,18,7,4,61
61,15,60,60,60,60,60,4,61,8,9,61,61,22,26,12,2,60,40,61
